nombre,provincia_nombre,pais,lugar_osm 
Chuchucaruana,Catamarca,Argentina,"Chuchucaruana, Catamarca, Argentina"
Colpes,Catamarca,Argentina,"Colpes, Catamarca, Argentina"
El Bolsón,Catamarca,Argentina,"El Bolsón, Catamarca, Argentina"
El Rodeo,Catamarca,Argentina,"El Rodeo, Catamarca, Argentina"
Huaycama,Catamarca,Argentina,"Huaycama, Catamarca, Argentina"
Isla Larga,Catamarca,Argentina,"Isla Larga, Catamarca, Argentina"
La Puerta,Catamarca,Argentina,"La Puerta, Catamarca, Argentina"
Las Chacritas,Catamarca,Argentina,"Las Chacritas, Catamarca, Argentina"
Las Juntas,Catamarca,Argentina,"Las Juntas, Catamarca, Argentina"
Los Castillos,Catamarca,Argentina,"Los Castillos, Catamarca, Argentina"
Los Talas,Catamarca,Argentina,"Los Talas, Catamarca, Argentina"
Los Varela,Catamarca,Argentina,"Los Varela, Catamarca, Argentina"
Singuil,Catamarca,Argentina,"Singuil, Catamarca, Argentina"
Ancasti,Catamarca,Argentina,"Ancasti, Catamarca, Argentina"
Anquincila,Catamarca,Argentina,"Anquincila, Catamarca, Argentina"
La Candelaria,Catamarca,Argentina,"La Candelaria, Catamarca, Argentina"
La Majada,Catamarca,Argentina,"La Majada, Catamarca, Argentina"
Yerba Buena,Catamarca,Argentina,"Yerba Buena, Catamarca, Argentina"
Amanao,Catamarca,Argentina,"Amanao, Catamarca, Argentina"
Andalgalá,Catamarca,Argentina,"Andalgalá, Catamarca, Argentina"
Chaquiago,Catamarca,Argentina,"Chaquiago, Catamarca, Argentina"
Choya,Catamarca,Argentina,"Choya, Catamarca, Argentina"
El Alamito,Catamarca,Argentina,"El Alamito, Catamarca, Argentina"
El Lindero,Catamarca,Argentina,"El Lindero, Catamarca, Argentina"
El Potrero,Catamarca,Argentina,"El Potrero, Catamarca, Argentina"
Antofagasta de la Sierra,Catamarca,Argentina,"Antofagasta de la Sierra, Catamarca, Argentina"
El Peñón,Catamarca,Argentina,"El Peñón, Catamarca, Argentina"
Los Nacimientos,Catamarca,Argentina,"Los Nacimientos, Catamarca, Argentina"
Barranca Larga,Catamarca,Argentina,"Barranca Larga, Catamarca, Argentina"
Belén,Catamarca,Argentina,"Belén, Catamarca, Argentina"
Cóndor Huasi,Catamarca,Argentina,"Cóndor Huasi, Catamarca, Argentina"
Corral Quemado,Catamarca,Argentina,"Corral Quemado, Catamarca, Argentina"
El Durazno,Catamarca,Argentina,"El Durazno, Catamarca, Argentina"
El Eje,Catamarca,Argentina,"El Eje, Catamarca, Argentina"
Farallón Negro,Catamarca,Argentina,"Farallón Negro, Catamarca, Argentina"
Hualfín,Catamarca,Argentina,"Hualfín, Catamarca, Argentina"
Jacipunco,Catamarca,Argentina,"Jacipunco, Catamarca, Argentina"
La Ciénaga,Catamarca,Argentina,"La Ciénaga, Catamarca, Argentina"
Laguna Blanca,Catamarca,Argentina,"Laguna Blanca, Catamarca, Argentina"
La Puntilla,Catamarca,Argentina,"La Puntilla, Catamarca, Argentina"
Las Barrancas,Catamarca,Argentina,"Las Barrancas, Catamarca, Argentina"
Las Juntas,Catamarca,Argentina,"Las Juntas, Catamarca, Argentina"
La Toma,Catamarca,Argentina,"La Toma, Catamarca, Argentina"
Londres,Catamarca,Argentina,"Londres, Catamarca, Argentina"
Los Nacimientos,Catamarca,Argentina,"Los Nacimientos, Catamarca, Argentina"
Pozo de Piedra,Catamarca,Argentina,"Pozo de Piedra, Catamarca, Argentina"
Puerta de Corral Quemado,Catamarca,Argentina,"Puerta de Corral Quemado, Catamarca, Argentina"
Puerta de San José,Catamarca,Argentina,"Puerta de San José, Catamarca, Argentina"
San Fernando,Catamarca,Argentina,"San Fernando, Catamarca, Argentina"
Soledad,Catamarca,Argentina,"Soledad, Catamarca, Argentina"
Villa Vil,Catamarca,Argentina,"Villa Vil, Catamarca, Argentina"
